Match,Team,Expected Points
A1,Senegal,1.25
A1,Netherlands ,1.75
A2,Qatar ,2.41
A2,Ecuador,0.59
A3,Qatar ,0.31
A3,Senegal,2.69
A4,Netherlands ,2.39
A4,Ecuador,0.6
A5,Ecuador,0.39
A5,Senegal,2.6
A6,Netherlands ,1.67
A6,Qatar ,1.33
B1,England,2.47
B1,Iran,0.53
B2,USA,1.84
B2,Wales,1.16
B3,Wales,2.24
B3,Iran,0.76
B4,England,2.99
B4,USA,0.012
B5,Wales,0.93
B5,England,2.07
B6,Iran,1.28
B6,USA,1.72
C1,Argentina,2.51
C1,Saudi Arabia,0.48
C2,Mexico,0.78
C2,Poland,2.21
C3,Poland,2.58
C3,Saudi Arabia,0.42
C4,Argentina,2.38
C4,Mexico,0.62
C5,Poland,1.49
C5,Argentina,1.5
C6,Saudi Arabia,0.25
C6,Mexico,2.74
D1,Denmark,2.84
D1,Tunisia,0.15
D2,France,3
D2,Peru,-4.44
D3,Tunisia,2.91
D3,Peru,0.09
D4,France,0.06
D4,Denmark,2.93
D5,Peru,0.44
D5,Denmark,2.56
D6,Tunisia,1.59
D6,France,1.41
E1,Germany,2.88
E1,Japan,0.11
E2,Spain,1.7
E2,Costa Rica,1.29
E3,Japan,2.72
E3,Costa Rica,0.28
E4,Spain,0.91
E4,Germany,2.09
E5,Japan,0.35
E5,Spain,2.65
E6,Costa Rica,0.6
E6,Germany,2.4
F1,Morocco,3
F1,Croatia,4.44
F2,Belgium,2.93
F2,Canada,0.06
F3,Belgium,1.29
F3,Morocco,1.71
F4,Croatia,2.77
F4,Canada,0.23
F5,Croatia,1.49
F5,Belgium,1.51
F6,Canada,0.69
F6,Morocco,2.31
G1,Switzerland,0.69
G1,Cameroon,2.31
G2,Brazil,2.86
G2,Serbia,0.14
G3,Cameroon,2.74
G3,Serbia,0.26
G4,Brazil,1.34
G4,Switzerland,1.65
G5,Serbia,0.43
G5,Switzerland,2.57
G6,Cameroon,0.19
G6,Brazil,2.8
H1,Uruguay,2.92
H1,Korea Republic,0.07
H2,Portugal,2.02
H2,Ghana,0.98
H3,Korea Republic,1.65
H3,Ghana,1.35
H4,Portugal,0.39
H4,Uruguay,2.6
H5,Ghana,2.2
H5,Uruguay,0.8
H6,Korea Republic,0.44
H6,Portugal,2.56